nFamilies	nSpeciesPerFamily	nSampledSpeciesPerFamily	nResourcesPerClass	leakageFraction	preferenceStrength	byproductSparsity	metabolism	r	p
8	264	38	4	0.5826974032946569	0.8905829743155136	1.7562792413926254	common	-0.25881043795675823	5.705801455874231e-06
4	154	20	5	0.636297854033806	0.8467372293469684	6.3924540938142	specific		
7	215	52	4	0.7005445180510045	0.15574132558852583	0.6294395937145032	common	-0.48197140959532514	7.449475247377506e-14
5	213	91	5	0.6733041106100643	0.4002800281632295	0.19291084816238696	specific	0.42945908537389704	7.982231386203603e-13
8	163	75	5	0.5454997622072755	0.019012069710988233	0.7386384399621936	specific	-0.7399506995259854	2.4702754303818213e-05
8	288	47	10	0.6682017451432143	0.0013214981982176965	8.355572444946937	common	-0.6130159057836483	1.4624697970232815e-05
6	255	26	12	0.7109832426948125	0.3497017880367055	1.5316312600633233	common	-0.5080027441685564	7.023325087030272e-13
3	230	86	15	0.6001566766239683	0.9898262364224031	7.862633218795455	common	-0.2776603106865887	7.829555078570506e-06
7	268	45	15	0.7772996988906071	0.4345227597930523	0.5368661287400711	common	-0.32879404809209667	1.1112263720050304e-18
4	232	53	5	0.5665110878912173	0.8365702487178945	1.1285872274298607	common	-0.031102319892868113	0.005896842660022902
8	283	87	11	0.5053803238192928	0.28707038619595093	2.550602507159765	specific	-0.13578912804563117	3.2108270634662224e-12
3	240	78	4	0.6583246264905961	0.6207437024869583	0.6688974221593572	common	-0.31205103815223995	7.505026933062424e-07
8	174	84	13	0.7000296202848192	0.12177444765454548	0.18776776640271065	common	-0.7418683201343267	7.553686836145074e-05
4	220	46	12	0.659019340284315	0.7582745740373961	2.051100580757106	specific	-0.4003130360165015	1.5883679443500468e-08
8	285	26	8	0.5286506171670496	0.938924638335178	8.157389834900757	common	0.015798751914739596	0.008533747230639356
7	272	61	11	0.7215551066986388	0.2380168066739644	0.23733082614809148	common	-0.5713901416529932	1.8861122556463565e-13
7	240	33	9	0.6266243501904248	0.26592140754476645	2.4125311961760683	common	-0.4463205605509422	6.572776411156298e-10
5	226	91	12	0.7085905705056972	0.42705601662913173	5.401928314976263	common	-0.29708476450971727	3.22349491087675e-14
5	201	41	10	0.6011549254297582	0.6597051155834338	0.39768051294952395	specific	-0.034335137562945636	3.2128929666219813e-12
6	197	45	15	0.6160903908116537	0.728081880213162	0.1025563531746211	common	-0.0029270240282930266	2.610843006783879e-15
7	209	28	7	0.6171508649361684	0.16929193810077459	0.7256324552195885	specific	-0.5303513366755314	2.4518375070028873e-13
8	167	72	14	0.5369457207477155	0.8750680311572868	0.3128299416929629	specific	-0.17284772004041857	3.8630366780910935e-26
6	193	46	10	0.6827061074927718	0.7480718458579495	1.585002958865601	common	-0.08080905926178843	1.3077776381920986e-15
6	155	35	7	0.5045370906230628	0.16266962006350405	2.0233716608255334	common	-0.3802245913832856	2.192795841545014e-11
8	231	39	5	0.7484413071022362	0.1303941865150131	0.1368267667617841	common	-0.628061250857061	3.6055724507882786e-10
5	199	34	3	0.5434370410007093	0.8706795824654816	9.956479938686396	specific	0.12332059175303173	4.149190478460955e-06
8	219	92	13	0.6865623663018482	0.8182411639175704	1.5959374517308975	specific	-0.12319430355530951	8.711675655613216e-14
6	276	24	7	0.6271167392084669	0.1571834862508692	0.2668760615838087	specific	-0.5640595337250012	1.927368373158745e-10
5	221	41	14	0.6520622401978531	0.7043001355748354	4.945281527400878	specific	-0.17134916917273013	1.4665795162804617e-08
7	277	99	9	0.7719168084268566	0.43202641681615395	1.0789918318701404	common	-0.14922301250411685	2.0685548372454566e-15
3	212	29	4	0.6748870702680779	0.42270786298552687	2.347730782315979	common	-0.42828792515867825	1.7087272246459145e-08
8	194	26	15	0.7859703859865352	0.7465578510106712	3.96253198426086	specific	0.02704058430375682	7.562350612941414e-08
3	219	37	6	0.7578266546083816	0.27987255579623793	5.022271862353959	specific	0.24362848501289316	4.205251609953128e-14
5	183	44	10	0.6594540864891856	0.35110723598177507	3.3864182225260064	specific	-0.4128241630478519	8.723399256853259e-15
